,perovskite_composition,passivating_molecule
2497,Cs0.05MA0.05FA0.90PbI3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2498,formamidinium-based,mixed cations of MDA and Cs
2499,Cs0.05(MA0.1FA0.85)PbI3,n-butylammonium bromide (BABr)
2500,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,anisole
2501,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,TiOxNy
2502,FA1-xMAxPbI3Br0.13,phenylethylammonium iodide
2503,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,allylammonium
2504,FA0.8Cs0.2Pb0.5Sn0.5I3,4-fluoroaniline
2505,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),allylammonium (ALA)
2506,Cs0.17FA0.83Pb(I0.6Br0.4)3,poly(4-vinylpyridine)
2507,Cs0.05(MA0.1FA0.85PbI3)3,cross-linked polymer (CLP)
2508,(FAPbI3)0.95(MAPbBr3)0.05,n-hexylammonium bromide and n-octylammonium bromide
2509,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,CsMAFA-8
2510,FAPbI3:0.95MAPbBr3:0.05,benzene
2511,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,Choline chloride
2512,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2513,PEA2(CH3NH3)2Pb2I7,anisole
2514,FA0.98Cs0.02PbI3,CF3PEAI
2515,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,piperazinium iodide
2516,MA0.7FA0.3PbI3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2517,CH3NH3PbI3,Al2O3
2518,Cs0.1FA0.9PbI2.55Br0.45,TiOxNy
2519,FAPbI3,lead sulfate
2520,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2521,Cs0.05(MA0.1FA0.85PbI3)3,formamidinium lead iodide (FAPbI3)
2522,FA0.8Cs0.2Pb0.5Sn0.5I3,PSP
2523,FA0.83Cs0.17PbI3,hexafluorobenzene
2524,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2525,MAPbI3,DTB(3%DEG)
2526,phase-pure quantum wells,formamidinium formate
2527,FAPbI3,2-TMAI
2528,FA-based mixed perovskites,formamidinium formate
2529,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,4-fluoroaniline
2530,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,oxalic acid
2531,(FAPbI3)0.97(MAPbBr3)0.03,CB-NH2
2532,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
2533,FA0.98Cs0.02PbI3,mixed cations of MDA and Cs
2534,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,4-tert-butyl-benzylammonium iodide
2535,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),3F-PEA
2536,Cs0.2FA0.8Pb(I0.6Br0.4)3,poly(methyl methacrylate)
2537,Cs0.05FA0.9MA0.05PbI2.74Br0.26,PDAI2 and 3MTPAI
2538,FA0.85MA0.15PbI3,formamidinium
2539,MA0.07FA0.93PbI3,Choline chloride
2540,formamidinium lead iodide (FAPbI3),EDTA
2541,FA0.85MA0.1Cs0.05PbI2.9Br0.1,methylammonium chloride
2542,FA0.15MA0.85PbI3,n-butylammonium bromide (BABr)
2543,FA0.82Cs0.13MA0.05PbI3,ferrocenyl-bis-thiophene-2-carboxylate
2544,Cs0.05FA0.81MA0.14PbI2.55Br0.45,phenylethylammonium iodide
2545,Cs0.05(MA0.1FA0.85)PbI3,methylammonium chloride
2546,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,PSP
2547,CH3NH3PbI3,"PEAI, Cl-PEAI, F-PEAI"
2548,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,n-hexylammonium bromide and n-octylammonium bromide
2549,FAPbI3,4-trifluoromethyl-phenylammonium
2550,(FAPbI3)0.97(MAPbBr3)0.03,allylammonium (ALA)
2551,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,CB-NH2
2552,Cs0.2FA0.8Pb(I0.6Br0.4)3,formamidine acetate
2553,FA0.95MA0.05Pb(I0.92Br0.08)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2554,FA0.83Cs0.17Pb0.5Sn0.5I3,phenethylammonium iodide (PEAI)
2555,FA1-xMAxPbI3Br0.13,2CF3-phenethylammonium iodide
2556,CsPbI3-xBrx,hexafluorobenzene
2557,MAPbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
2558,Cs0.05(MA0.1FA0.85PbI3)3,TiOxNy
2559,FA0.82Cs0.13MA0.05PbI3,lead sulfate
2560,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),benzene
2561,Cs0.05FA0.9MA0.05PbI2.74Br0.26,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2562,FAMAPbI3 and MAPbI3 layers (two-step method),"PEAI, Cl-PEAI, F-PEAI"
2563,FA0.85MA0.15PbI3,ZrL3
2564,formamidinium lead iodide,CB-NH2
2565,FA-based mixed perovskites,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
2566,formamidinium lead triiodide (FAPbI3),poly(methyl methacrylate)
2567,Cs0.05(MA0.1FA0.85PbI3)3,4-guanidinobenzoic acid hydrochloride (GBAC)
2568,FAPbI3:0.95MAPbBr3:0.05,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2569,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,AZO/SnOx
2570,FA0.82Cs0.13MA0.05PbI3,2-TMAI
2571,FA0.82Cs0.13MA0.05PbI3,ZrL3
2572,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2573,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,allylammonium (ALA)
2574,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,Al2O3
2575,FA0.95MA0.05Pb(I0.92Br0.08)3,Cl-cPP and Cl-bSO
2576,FA-based mixed perovskites,benzylhydrazine (BHC)
2577,(FAPbI3)0.95(MAPbBr3)0.05,formamidinium
2578,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,PDAI2 and 3MTPAI
2579,formamidinium lead iodide (FAPbI3),hexafluorobenzene
2580,(FAPbI3)0.97(MAPbBr3)0.03,3F-PEA
2581,FA-based mixed perovskites,isopropylammonium chloride
2582,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2583,Cs0.05MA0.05FA0.90PbI3,PEA2ZnX4
2584,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2585,MA0.7FA0.3PbI3,butylamine
2586,formamidinium lead iodide (FAI) based compound,Oleylammonium iodide
2587,FA0.15MA0.85PbI3,methylammonium chloride
2588,formamidinium lead triiodide (FAPbI3),formamidine acetate
2589,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,butylamine
2590,formamidinium lead iodide,allylammonium (ALA)
2591,Cs0.05FA0.81MA0.14PbI2.55Br0.45,sodium thioglycolate
2592,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2593,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,4-vinylbenzylamine
2594,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,octylammonium iodide
2595,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,PEA2ZnX4
2596,3D/0D perovskite,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2597,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,formamidine acetate
2598,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,ortho-(phenylene)di(ethylammonium) iodide
2599,FA-based mixed perovskites,Choline chloride
2600,Cs0.15FA0.85PbI2.55Br0.45,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2601,phase-pure quantum wells,Choline chloride
2602,Cs0.17FA0.83Pb(I0.6Br0.4)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2603,FA0.82Cs0.13MA0.05PbI3,4-trifluoromethyl-phenylammonium
2604,FA0.83MA0.17PbI3,cross-linked polymer (CLP)
2605,Cs0.05FA0.95PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
2606,Cs0.05FA0.95PbI3,poly(methyl methacrylate)
2607,Cs0.05FA0.9MA0.05PbI2.74Br0.26,CF3PEAI
2608,Cs0.05FA0.81MA0.14PbI2.55Br0.45,2CF3-phenethylammonium iodide
2609,FA0.82Cs0.13MA0.05PbI3,EDAI2
2610,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2611,FA0.85MA0.1Cs0.05PbI2.9Br0.1,n-hexylammonium bromide and n-octylammonium bromide
2612,Cs0.2FA0.8Pb(I0.6Br0.4)3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2613,MA0.07FA0.93PbI3,CF3PEAI2D
2614,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,NH4Cl
2615,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,"PEAI, Cl-PEAI, F-PEAI"
2616,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,PEA2ZnX4
2617,FA0.83MA0.17PbI3,formamidinium lead iodide (FAPbI3)
2618,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,PDAI2 and 3MTPAI
2619,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,poly(methyl methacrylate)
2620,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,4-vinylbenzylammonium bromide
2621,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,NH4Cl
2622,FA0.95Cs0.05PbI3,ortho-(phenylene)di(ethylammonium) iodide
2623,formamidinium lead iodide (FAPbI3),4-ethyl-1H-pyrrole-2-carboxylic acid
2624,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,ferrocenyl-bis-thiophene-2-carboxylate
2625,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,formamidinium
2626,Cs0.05FA0.95PbI3,formamidine acetate
2627,Cs0.15FA0.85PbI2.55Br0.45,Cl-cPP and Cl-bSO
2628,formamidinium lead iodide,3F-PEA
2629,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,Cl-cPP and Cl-bSO
2630,Cs0.1FA0.9PbI2.55Br0.45,"PEAI, Cl-PEAI, F-PEAI"
2631,Cs0.05FA0.9MA0.05PbI2.74Br0.26,mixed cations of MDA and Cs
2632,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
2633,FA0.85MA0.15PbI3,Cs2PbI2Cl2
2634,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2635,FA0.8Cs0.2Pb0.5Sn0.5I3,piperazinium iodide
2636,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,formamidine acetate
2637,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,azetidinium iodide
2638,formamidinium lead iodide,4-vinylbenzylammonium bromide
2639,FA0.8Cs0.2Pb(I0.7Br0.3)3,4-chlorophenylethylammonium iodide
2640,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),benzene
2641,FA(MA)PbI3,Oleylammonium iodide
2642,Cs0.1FA0.9PbI3,AZO/SnOx
2643,CsPbI3-xBrx,CB-NH2
2644,Cs0.05(MA0.1FA0.85PbI3)3,Al2O3
2645,formamidinium lead triiodide (FAPbI3),2-(9H-carbazol-9-yl)ethyl phosphonic acid
2646,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,FA0.83Cs0.17Pb0.5Sn0.5I3
2647,FAPbI3:0.95MAPbBr3:0.05,butylamine
2648,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,(BA)2PbI4
2649,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,CF3PEAI
2650,Cs0.05MA0.05FA0.90PbI3,(PbI2)2RbCl
2651,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2652,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,ZrL3
2653,(FAPbI3)1-x(MC)x,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2654,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,piperazinium iodide
2655,formamidinium-based,allylammonium
2656,CsPbI3-xBrx,allylammonium (ALA)
2657,FA0.83MA0.17PbI3,TiOxNy
2658,FA0.83Cs0.17PbI3,4-vinylbenzylammonium bromide
2659,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,sodium thioglycolate
2660,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),EDTA
2661,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,ortho-(phenylene)di(ethylammonium) iodide
2662,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,Oleylammonium iodide
2663,formamidinium-based,cross-linked polymer (CLP)
2664,FA0.82Cs0.13MA0.05PbI3,4-tert-butyl-benzylammonium iodide
2665,FAPbI3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
2666,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,Chlorine-capped TiO2
2667,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,AZO/SnOx
2668,(FAPbI3)0.95(MAPbBr3)0.05,Cs2PbI2Cl2
2669,phase-pure quantum wells,CF3PEAI2D
2670,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
2671,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,mixed cations of MDA and Cs
2672,Cs0.15FA0.85MA0.05PbI3,ortho-(phenylene)di(ethylammonium) iodide
2673,PEA2(CH3NH3)2Pb2I7,Oleylammonium iodide
2674,Cs0.05FA0.95PbI3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2675,formamidinium-based,formamidinium lead iodide (FAPbI3)
2676,Cs0.05(MA0.1FA0.85PbI3)3,"PEAI, Cl-PEAI, F-PEAI"
2677,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,(PbI2)2RbCl
2678,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,benzylhydrazine (BHC)
2679,FA0.85MA0.1Cs0.05PbI2.9Br0.1,ferrocenyl-bis-thiophene-2-carboxylate
2680,FA0.85MA0.1Cs0.05PbI2.9Br0.1,formamidinium
2681,FA1-xMAxPbI3Br0.13,phenethylammonium iodide
2682,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,EDAI2
2683,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,pentanamidine hydrochloride
2684,(FAPbI3)0.97(MAPbBr3)0.03,benzene
2685,Cs0.05(MA0.1FA0.85)PbI3,ferrocenyl-bis-thiophene-2-carboxylate
2686,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,isopropylammonium chloride
2687,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2688,Cs0.17FA0.83Pb(I0.6Br0.4)3,2D perovskite
2689,MA0.7FA0.3PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2690,FA1-xMAxPbI3Br0.13,cyclohexylmethylammonium iodide
2691,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,anisole
2692,FA0.83Cs0.17Pb0.5Sn0.5I3,poly(methyl methacrylate)
2693,FA-based mixed perovskites,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2694,MA0.7FA0.3PbI3,"1,3-propane diammonium iodide"
2695,FA1-xMAxPbI3Br0.13,azetidinium iodide
2696,(FAPbI3)0.95(MAPbBr3)0.05,CF3PEAI2D
2697,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,"1,3-propane diammonium iodide"
2698,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2699,FA0.85Cs0.15PbI2.85I3,sulfonyl fluoride-functionalized phenethylammonium salt
2700,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,2-aminoindan hydrochloride
2701,CsPbI3-xBrx,4-vinylbenzylammonium bromide
2702,FA0.98Cs0.02PbI3,cross-linked polymer (CLP)
2703,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,methylammonium chloride
2704,Cs0.05(MA0.1FA0.85)PbI3,lead sulfate
2705,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,mixed cations of MDA and Cs
2706,FA0.8Cs0.2Pb(I0.7Br0.3)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2707,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),hexafluorobenzene
2708,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,poly(4-vinylpyridine)
2709,FA0.85MA0.1Cs0.05PbI2.9Br0.1,ZrL3
2710,3D/CLP/2D perovskite heterostructure,"b-poly(1,1-difluoroethylene) (b-pV2F)"
2711,FA0.82Cs0.13MA0.05PbI3,oxalic acid
2712,CsFAMAPbI3,4-trifluoromethyl-phenylammonium
2713,FA0.83Cs0.17Pb0.5Sn0.5I3,formamidine acetate
2714,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,Cs2PbI2Cl2
2715,formamidinium lead iodide (FAI) based compound,LiF
2716,Cs0.15FA0.85MA0.1PbI2.55Br0.45,phenethylammonium iodide (PEAI)
2717,Cs0.05(MA0.1FA0.85)PbI3,ZrL3
2718,FA0.98Cs0.02PbI3,formamidinium lead iodide (FAPbI3)
2719,Cs0.05(MA0.1FA0.85)PbI3,2-TMAI
2720,Cs0.17FA0.83Pb(I0.6Br0.4)3,methylamine
2721,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,hexafluorobenzene
2722,FA-based mixed perovskites,Cl-cPP and Cl-bSO
2723,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,(BA)2PbI4
2724,Cs0.1FA0.9PbI3,sodium thioglycolate
2725,formamidinium lead iodide,benzene
2726,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
2727,Cs0.17FA0.83Pb(I0.6Br0.4)3,DTB(3%DEG)
2728,Cs0.05FA0.81MA0.14PbI2.55Br0.45,phenethylammonium iodide
2729,FA0.15MA0.85PbI3,ferrocenyl-bis-thiophene-2-carboxylate
2730,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,sulfonyl fluoride-functionalized phenethylammonium salt
2731,FA0.83MA0.17Pb(I0.6Br0.4)3,4-fluoroaniline
2732,FA0.95MA0.05Pb(I0.92Br0.08)3,Spiro-mF
2733,formamidinium-based,4-guanidinobenzoic acid hydrochloride (GBAC)
2734,Cs0.1FA0.9PbI3,2CF3-phenethylammonium iodide
2735,formamidinium lead iodide (FAI) based compound,n-hexyl trimethyl ammonium bromide
2736,Cs0.05FA0.81MA0.14PbI2.55Br0.45,cyclohexylmethylammonium iodide
2737,FA0.83MA0.17PbI3,Al2O3
2738,FA0.85MA0.1Cs0.05PbI2.9Br0.1,EDAI2
2739,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,NH4Cl
2740,Cs0.05MA0.05FA0.90PbI3,none
2741,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,4-trifluoromethyl-phenylammonium
2742,"MAPbCl3, MAPbBr3, MAPbI3",PSP
2743,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,4-tert-butyl-benzylammonium iodide
2744,Cs0.05FA0.81MA0.14PbI2.55Br0.45,azetidinium iodide
2745,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),4-ethyl-1H-pyrrole-2-carboxylic acid
2746,(FAPbI3)1-x(MC)x,PEA2ZnX4
2747,FA0.83MA0.17Pb(I0.6Br0.4)3,PSP
2748,Cs0.05(MA0.1FA0.85)PbI3,EDAI2
2749,FA0.15MA0.85PbI3,lead sulfate
2750,3D/CLP/2D perovskite heterostructure,CF3PEAI
2751,(FAPbI3)0.97(MAPbBr3)0.03,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2752,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,none
2753,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,pentanamidine hydrochloride
2754,Cs0.15FA0.85PbI2.55Br0.45,octylammonium iodide
2755,FA0.95MA0.05Pb(I0.92Br0.08)3,CsMAFA-8
2756,FA(MA)PbI3,hexyltrimethylammonium bromide
2757,FAPbI3:0.95MAPbBr3:0.05,"1,3-propane diammonium iodide"
2758,FA0.15MA0.85PbI3,2-TMAI
2759,FA0.15MA0.85PbI3,ZrL3
2760,FA0.85MA0.15PbI3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2761,FA(MA)PbI3,LiF
2762,FA0.85Cs0.15PbI2.85I3,n-butylammonium bromide (BABr)
2763,Cs0.05MA0.05FA0.90PbI3,n-hexylammonium bromide and n-octylammonium bromide
2764,FA0.83Cs0.17Pb0.5Sn0.5I3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
2765,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,PDAI2 and 3MTPAI
2766,MAPbI3,ortho-(phenylene)di(ethylammonium) iodide
2767,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,none
2768,FA0.98Cs0.02PbI3,4-guanidinobenzoic acid hydrochloride (GBAC)
2769,FA0.85MA0.1Cs0.05PbI2.9Br0.1,Cs2PbI2Cl2
2770,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,2-aminoindan hydrochloride
2771,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,NaF
2772,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,n-hexylammonium bromide and n-octylammonium bromide
2773,FA0.83MA0.17PbI3,"PEAI, Cl-PEAI, F-PEAI"
2774,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),butylamine
2775,Cs0.15FA0.85PbI2.55Br0.45,Spiro-mF
2776,formamidinium lead iodide (FAPbI3),phenylethylammonium iodide
2777,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,2-aminoindan hydrochloride
2778,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,Spiro-mF
2779,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,n-hexyl trimethyl ammonium bromide
2780,(FAPbI3)1-x(MC)x,(BA)2PbI4
2781,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,hexyltrimethylammonium bromide
2782,FA0.15MA0.85PbI3,4-trifluoromethyl-phenylammonium
2783,CH3NH3PbI3,poly(4-vinylpyridine)
2784,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,n-butylammonium bromide (BABr)
2785,formamidinium lead iodide,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
2786,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,LiF
2787,FA0.15MA0.85PbI3,EDAI2
2788,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,oxalic acid
2789,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,CB-NH2
2790,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,sulfonyl fluoride-functionalized phenethylammonium salt
2791,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,poly(methyl methacrylate)
2792,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
2793,PEA2(CH3NH3)2Pb2I7,hexyltrimethylammonium bromide
2794,FA0.8Cs0.2Pb(I0.7Br0.3)3,PEA2ZnX4
2795,Cs0.05FA0.9MA0.05PbI2.74Br0.26,cross-linked polymer (CLP)
2796,Cs0.15FA0.85PbI2.55Br0.45,CsMAFA-8
2797,formamidinium-based,FA0.83Cs0.17Pb0.5Sn0.5I3
2798,FAMAPbI3 and MAPbI3 layers (two-step method),butylamine
2799,PEA2(CH3NH3)2Pb2I7,LiF
2800,FA0.85MA0.1Cs0.05PbI2.9Br0.1,4-tert-butyl-benzylammonium iodide
2801,(FAPbI3)0.95(MAPbBr3)0.05,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
2802,formamidinium-based,Al2O3
2803,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,CsMAFA-8
2804,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
2805,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,phenethylammonium iodide (PEAI)
2806,Cs0.05(MA0.1FA0.85)PbI3,4-tert-butyl-benzylammonium iodide
2807,FAMAPbI3 and MAPbI3 layers (two-step method),poly(4-vinylpyridine)
2808,Cs0.05FA0.9MA0.05PbI2.74Br0.26,formamidinium lead iodide (FAPbI3)
2809,FA0.85Cs0.15PbI2.85I3,methylammonium chloride
2810,(FAPbI3)1-x(MC)x,(PbI2)2RbCl
2811,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,formamidine acetate
2812,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),"1,3-propane diammonium iodide"
